Rank,Game,Release,genre1,genre2,genre3,Score
2046,7 Days to Die,28/06/2016,Action,Adventure,RPG,6.3
2047,101 Ways to Die,22/03/2016,Puzzle,Strategy,Platformer,6.3
2048,KOI,19/04/2016,Adventure,Puzzle,Single-player,6.3
2049,Bedlam: The Game by Christopher Brookmyre,13/10/2015,Single-player,First-Person Shooter,,6.2
2050,Scars Above,28/02/2023,Action,Adventure,Single-player,6.2
2051,Remothered: Broken Porcelain,13/10/2020,Action,Adventure,Horror,6.2
2052,RIOT - Civil Unrest,05/02/2019,Simulation,Strategy,Coop,6.2
2053,Necromunda: Underhive Wars,07/09/2020,Action,RPG,Strategy,6.2
2054,Hidden Dragon: Legend,19/09/2017,Action,Platformer,Single-player,6.2
2055,BALAN WONDERWORLD,26/03/2021,Action,Adventure,Casual,6.2
2056,Rugby 18,24/10/2017,Sports,Multiplayer,Single-player,6.2
2057,Infinity Runner,21/04/2015,Action,Multiplayer,Single-player,6.2
2058,Stranded Sails – Explorers of the Cursed Islands,17/10/2019,Adventure,RPG,Simulation,6.2
2059,MX vs ATV All Out,27/03/2018,Sports,Racing,Multiplayer,6.2
2060,ELEX,17/10/2017,Action,Adventure,RPG,6.2
2061,Island Time VR,03/04/2018,Simulation,Single-player,,6.2
2062,Loading Human: Chapter 1,13/10/2016,Adventure,Single-player,,6.2
2063,Zombieland: Double Tap - Road Trip,15/10/2019,Action,Arcade,Shoot 'em up,6.1
2064,Espire 1: VR Operative,19/11/2019,Action,Adventure,Stealth,6.1
2065,Fear Effect Sedna,06/03/2018,Action,Strategy,Single-player,6.1
2066,Arc of Alchemist,30/01/2020,Action,Adventure,RPG,6.1
2067,Godzilla,14/07/2015,Action,Adventure,Fighting,6.1
2068,The Assembly,13/10/2016,Adventure,Single-player,,6.1
2069,Narcos: Rise of the Cartels,19/11/2019,Action,Adventure,Strategy,6.1
2070,Putty Squad,11/03/2014,Action,Platformer,Single-player,6.1
2071,Tennis World Tour 2,22/09/2020,Simulation,Sports,Coop,6.1
2072,Wanted: Dead,14/02/2023,Action,Adventure,Hack and Slash,6.1
2073,Micro Machines: World Series,30/06/2017,Racing,Multiplayer,,6.1
2074,Oh…Sir! The Insult Simulator,30/05/2017,Simulation,Multiplayer,Single-player,6.0
2075,Bee Simulator,14/11/2019,Simulation,Coop,Local Multiplayer,6.0
