Rank,Game,Release,genre1,genre2,genre3,Score
222,Persona 5 Strikers,23/02/2021,Action,Adventure,RPG,8.7
223,Valfaris,05/11/2019,Action,Metroidvania,Platformer,8.7
224,NEO: The World Ends With You,27/07/2021,Action,RPG,JRPG,8.7
225,Oxenfree,31/05/2016,Adventure,Single-player,,8.7
226,Gravity Rush 2,20/01/2017,Action,Adventure,RPG,8.7
227,Resogun,15/11/2013,Shoot 'em up,Coop,Local-coop,8.7
228,Fortnite,21/07/2017,Action,Battle Royale,Coop,8.7
229,Life is Strange: True Colors,10/09/2021,Action,Adventure,Single-player,8.7
230,The Legend of Heroes: Trails from Zero,27/09/2022,RPG,JRPG,Single-player,8.7
231,Mortal Kombat 11,23/04/2019,Action,Fighting,Coop,8.7
232,DARIUSBURST Chronicle Saviours,02/12/2015,Shoot 'em up,Coop,Local-coop,8.7
233,Wandersong,22/01/2019,Adventure,Puzzle,Single-player,8.7
234,Trine 2: Complete Story,15/11/2013,Action,Puzzle,RPG,8.7
235,CrossCode,09/07/2020,Action,RPG,Single-player,8.7
236,Steins;Gate 0,29/11/2016,Action,Adventure,Visual novel,8.7
237,Middle-earth: Shadow of Mordor,30/09/2014,Action,Adventure,Hack and Slash,8.7
238,Sairento VR,10/07/2019,Action,Arcade,Coop,8.7
239,Rocket League,07/07/2015,Sports,Esports,Coop,8.7
240,BlazBlue: Chrono Phantasma EXTEND,30/06/2015,Fighting,Anime,Multiplayer,8.7
241,Assassin's Creed Odyssey,05/10/2018,Action,Adventure,RPG,8.7
242,Battlefield 4,15/11/2013,Military,Military Shooter,Multiplayer,8.7
243,Stray,19/07/2022,Action,Adventure,Cozy,8.7
244,FIFA 14,12/11/2013,Sports,Multiplayer,Single-player,8.7
245,The Sexy Brutale,12/04/2017,Adventure,Puzzle,Single-player,8.7
246,Bloodstained: Curse of the Moon,24/05/2018,Action,Platformer,Single-player,8.7
247,Atelier Ryza 2: Lost Legends & the Secret Fairy,26/01/2021,Adventure,RPG,JRPG,8.7
248,Detroit: Become Human,25/05/2018,Action,Adventure,Single-player,8.7
249,Death Stranding,08/11/2019,Action,Open World,Multiplayer,8.7
250,Assassin's Creed Valhalla,10/11/2020,Action,Adventure,RPG,8.7
251,Pillars of Eternity: Complete Edition,29/08/2017,RPG,Turn-based RPG,Single-player,8.7
252,Disgaea 5: Alliance of Vengeance,06/10/2015,RPG,Strategy,JRPG,8.7
253,Gravity Rush Remastered,02/02/2016,Action,Adventure,RPG,8.7
254,Detention,03/10/2017,Adventure,Puzzle,RPG,8.7
255,Assassin's Creed IV: Black Flag,15/11/2013,Action,Adventure,Open World,8.7
256,Sonic Mania,15/08/2017,Action,Platformer,Coop,8.7
257,Final Fantasy XV: Royal Edition,06/03/2018,Action,RPG,JRPG,8.7
258,Death Road to Canada,08/05/2018,Action,RPG,Roguelike,8.7
259,A Hat in Time,05/12/2017,Action,Adventure,Open World,8.7
260,Sunless Sea: Zubmariner Edition,28/08/2018,Action,Adventure,RPG,8.7
261,Kena: Bridge of Spirits,21/09/2021,Action,Adventure,Open World,8.7
262,FIFA 17,27/09/2016,Sports,Multiplayer,Single-player,8.7
263,The Walking Dead: Saints & Sinners,05/05/2020,Action,Adventure,Horror,8.7
264,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,09/02/2021,Action,Fighting,Local Multiplayer,8.7
265,CHRONO CROSS: THE RADICAL DREAMERS EDITION,07/04/2022,Adventure,RPG,JRPG,8.7
266,HITMAN World of Assassination,20/01/2021,Action,Adventure,Stealth,8.7
267,SaGa Frontier Remastered,15/04/2021,RPG,JRPG,Single-player,8.7
268,A Plague Tale: Innocence,14/05/2019,Action,Adventure,Puzzle,8.7
269,Fez,25/03/2014,Puzzle,Platformer,Single-player,8.7
270,Fight'N Rage,03/12/2019,Action,Fighting,Coop,8.7
271,Samurai Shodown,25/06/2019,Action,Fighting,Multiplayer,8.7
272,Life is Strange,19/01/2016,Adventure,Point & Click,Single-player,8.7
273,FIFA 15,23/09/2014,Sports,Coop,Local-coop,8.7
274,L.A. Noire,14/11/2017,Action,Adventure,Open World,8.7
275,Far Cry 4,18/11/2014,Action,Adventure,Open World,8.7
276,Visage,31/10/2020,Action,Adventure,Horror,8.7
277,NBA 2K16,29/09/2015,Sports,Multiplayer,Single-player,8.7
278,Final Fantasy,19/04/2023,Adventure,RPG,JRPG,8.6
279,Rabi-Ribi,01/09/2017,Action,RPG,Metroidvania,8.6
280,Astebreed,25/06/2015,Action,Arcade,Shoot 'em up,8.6
281,Ace Combat 7: Skies Unknown,18/01/2019,Simulation,Multiplayer,Single-player,8.6
282,Under Night In-Birth Exe: Late[St],09/02/2018,Fighting,Multiplayer,Single-player,8.6
283,Pro Evolution Soccer 2017,13/09/2016,Sports,Multiplayer,Single-player,8.6
284,Under Night In-Birth Exe:Late[cl-r],20/02/2020,Fighting,Anime,Multiplayer,8.6
285,The Unfinished Swan,28/10/2014,Adventure,Puzzle,Single-player,8.6
286,Crash Team Racing Nitro-Fueled,20/06/2019,Racing,Coop,Local-coop,8.6
287,MLB: The Show 17,28/03/2017,Sports,Multiplayer,Single-player,8.6
288,Diablo IV,06/06/2023,Action,RPG,Hack and Slash,8.6
289,Granblue Fantasy Versus,03/03/2020,RPG,Fighting,Multiplayer,8.6
290,Aaero,11/04/2017,Action,Rhythm,Single-player,8.6
291,Hotline Miami 2: Wrong Number,10/03/2015,Action,Shoot 'em up,Single-player,8.6
292,The Banner Saga 2,05/07/2016,Adventure,RPG,Strategy,8.6
293,Marvel's Guardians of the Galaxy,26/10/2021,Action,Adventure,Single-player,8.6
294,Yu-Gi-Oh! Legacy of the Duelist,31/07/2015,Card,Strategy,Anime,8.6
295,Electronauts,07/08/2018,Rhythm,Coop,Online Co-op,8.6
296,Crisis Core: Final Fantasy VII Reunion,13/12/2022,Action,RPG,JRPG,8.6
297,Overcooked! 2,07/08/2018,Party,Simulation,Strategy,8.6
298,Devil May Cry 4: Special Edition,23/06/2015,Action,Adventure,Hack and Slash,8.6
299,Until Dawn,25/08/2015,Adventure,Horror,Survival,8.6
300,KLONOA Phantasy Reverie Series,08/07/2022,Action,Adventure,Platformer,8.6
301,Children of Morta,15/10/2019,Action,RPG,Hack and Slash,8.6
302,Naruto Shippuden: Ultimate Ninja Storm 4,09/02/2016,Action,Fighting,Anime,8.6
303,NBA 2K17,20/09/2016,Sports,Multiplayer,Single-player,8.6
304,InFamous: Second Son,21/03/2014,Action,Adventure,Open World,8.6
305,LUMINES REMASTERED,26/06/2018,Puzzle,Local Multiplayer,Multiplayer,8.6
306,Atelier Ryza 3: Alchemist of the End & the Secret Key,24/03/2023,Adventure,RPG,JRPG,8.6
307,Darkwood,14/05/2019,Horror,Survival,Single-player,8.6
308,Stellaris: Console Edition,26/02/2019,Simulation,Strategy,Multiplayer,8.6
309,Path of Exile,26/03/2019,Action,MMO,RPG,8.6
310,Shantae: Half-Genie Hero,20/12/2016,Action,Adventure,Platformer,8.6
311,The Witness,26/01/2016,Adventure,Puzzle,Open World,8.6
312,Catherine: Full Body,03/09/2019,Puzzle,Coop,Local-coop,8.6
313,LocoRoco 2 Remastered,09/12/2017,Puzzle,Platformer,Multiplayer,8.6
314,Subnautica: Below Zero,14/05/2021,Action,Adventure,Open World,8.6
315,428: Shibuya Scramble,04/09/2018,Adventure,Visual novel,Single-player,8.6
316,STAR WARS Jedi: Fallen Order,15/11/2019,Action,Adventure,Single-player,8.6
317,We Love Katamari Reroll+ Royal Reverie,02/06/2023,Action,Puzzle,Single-player,8.6
318,DOOM 64,20/03/2020,Action,Single-player,First-Person Shooter,8.6
319,Plants vs. Zombies: Garden Warfare,19/08/2014,Strategy,Zombie,Coop,8.6
320,The Legend of Heroes: Trails into Reverie,07/07/2023,RPG,JRPG,Single-player,8.6
321,Dust: An Elysian Tail,07/10/2014,Action,Adventure,RPG,8.6
322,Outlast,04/02/2014,Action,Adventure,Horror,8.6
323,Valiant Hearts: The Great War,24/06/2014,Adventure,Puzzle,Single-player,8.6
324,F1 2019,28/06/2019,Sports,Racing,Multiplayer,8.6
325,Lego Star Wars: The Skywalker Saga,05/04/2022,Action,Adventure,Open World,8.6
326,MLB The Show 16,29/03/2016,Sports,Multiplayer,Single-player,8.6
327,Full Throttle Remastered,18/04/2017,Adventure,Point & Click,Single-player,8.6
328,Blood & Truth,28/05/2019,Single-player,First-Person Shooter,,8.6
329,The King of Fighters XIV,23/08/2016,Fighting,Multiplayer,Single-player,8.6
330,Blasphemous,10/09/2019,Action,Adventure,Metroidvania,8.6
331,DG2: Defense Grid 2,23/09/2014,Strategy,Tower Defense,Multiplayer,8.6
332,MLB 14: The Show,06/05/2014,Sports,Multiplayer,Single-player,8.6
333,Just Dance 2022,04/11/2021,Action,Rhythm,Multiplayer,8.6
334,Little Nightmares,28/04/2017,Adventure,Puzzle,Horror,8.6
335,F1 2018,24/08/2018,Sports,Racing,Multiplayer,8.6
336,Ghost Giant,16/04/2019,Adventure,Single-player,,8.6
337,Wreckfest,27/08/2019,Simulation,Racing,Multiplayer,8.6
338,Helldivers,03/03/2015,Shoot 'em up,Coop,Local-coop,8.6
339,Mobile Suit Gundam: Extreme VS. MaxiBoost ON,30/07/2020,Action,Anime,Single-player,8.6
340,SnowRunner,28/04/2020,Adventure,Simulation,Open World,8.6
341,Brothers: A Tale of Two Sons,12/08/2015,Adventure,Multiplayer,Single-player,8.6
342,Soulcalibur VI,19/10/2018,Fighting,Multiplayer,Single-player,8.6
343,The Metronomicon: Slay the Dance Floor,29/08/2017,Action,Rhythm,RPG,8.6
344,Borderlands: Game of the Year Edition,03/04/2019,Action,RPG,Open World,8.6
345,LocoRoco Remastered,09/05/2017,Action,Puzzle,Single-player,8.6
346,Yoku's Island Express,29/05/2018,Adventure,Puzzle,Metroidvania,8.6
347,The Room VR: A Dark Matter,26/03/2020,Adventure,Puzzle,Single-player,8.6
348,Pro Evolution Soccer 2018,12/09/2017,Sports,Coop,Local-coop,8.6
349,Borderlands 3,13/09/2019,Action,RPG,Coop,8.6
350,I Expect You To Die,13/12/2016,Puzzle,Single-player,,8.5
351,FIVE NIGHTS AT FREDDY'S VR: HELP WANTED,28/05/2019,Horror,Survival,Single-player,8.5
352,Call of Duty: Modern Warfare Remastered,05/10/2016,Military Shooter,Multiplayer,Single-player,8.5
353,Plants vs. Zombies: Garden Warfare 2,23/02/2016,Strategy,Zombie,Coop,8.5
354,NBA 2K15,07/10/2014,Sports,Multiplayer,Single-player,8.5
355,Trine 4: The Nightmare Prince,08/10/2019,Puzzle,Platformer,Coop,8.5
356,SUPERBEAT: XONiC,06/06/2017,Action,Rhythm,,8.5
357,Knights and Bikes,27/08/2019,Action,Adventure,Coop,8.5
358,DiRT 4,06/06/2017,Action,Arcade,Simulation,8.5
359,My Friend Pedro,02/04/2020,Action,Adventure,Platformer,8.5
360,Bugsnax,12/11/2020,Action,Adventure,Single-player,8.5
361,RESIDENT EVIL 3,03/04/2020,Action,Adventure,Horror,8.5
362,Hogwarts Legacy,05/05/2023,Action,Adventure,RPG,8.5
363,The King of Fighters XV,17/02/2022,Fighting,Multiplayer,Online Multiplayer,8.5
364,The Banner Saga,12/01/2016,RPG,Strategy,JRPG,8.5
365,Bleed 2,06/02/2018,Platformer,Shoot 'em up,Coop,8.5
366,Yomawari: Midnight Shadows,24/10/2017,Adventure,Strategy,Horror,8.5
367,The Last Guardian,06/12/2016,Action,Adventure,Single-player,8.5
368,Alien: Isolation,07/10/2014,Action,Adventure,Horror,8.5
369,Dragon's Dogma: Dark Arisen,03/10/2017,Action,Adventure,RPG,8.5
370,Darksiders: Warmastered Edition,22/11/2016,Action,Adventure,RPG,8.5
371,Assault Android Cactus,08/03/2016,Action,Arcade,Shoot 'em up,8.5
372,Windjammers,29/08/2017,Sports,Fighting,Multiplayer,8.5
373,Ultimate Marvel vs. Capcom 3,03/12/2016,Fighting,Multiplayer,Single-player,8.5
374,Watch Dogs 2,15/11/2016,Action,Adventure,Open World,8.5
375,Story of Seasons: Friends of Mineral Town,27/10/2021,RPG,Simulation,Strategy,8.5
376,Wonder Boy: The Dragon's Trap,18/04/2017,Action,Adventure,Metroidvania,8.5
377,Alan Wake Remastered,05/10/2021,Action,Adventure,Horror,8.5
378,Trine 5: A Clockwork Conspiracy,31/08/2023,Action,Adventure,Puzzle,8.5
379,Lara Croft GO,03/12/2016,Puzzle,Single-player,,8.5
380,DNF Duel,28/06/2022,Beat 'em up,Fighting,Local Multiplayer,8.5
381,Dying Light 2 Stay Human,04/02/2022,Action,RPG,Horror,8.5
459,Tearaway Unfolded,08/09/2015,Adventure,Platformer,,8.5
382,Atelier Ryza: Ever Darkness & the Secret Hideout,29/10/2019,RPG,JRPG,Single-player,8.5
383,Minecraft: Playstation 4 Edition,04/09/2014,Action,Adventure,Simulation,8.5
384,South Park: The Fractured But Whole,17/10/2017,RPG,Open World,Single-player,8.5
385,Oddworld: Abe's Oddysee - New 'n' Tasty,22/07/2014,Action,Adventure,Metroidvania,8.5
386,Lovers in a Dangerous Spacetime,09/02/2016,Action,Platformer,Coop,8.5
387,DiRT Rally,05/04/2016,Simulation,Racing,Coop,8.5
388,A Space for The Unbound,19/01/2023,Action,Adventure,Cozy,8.5
389,Indivisible,08/10/2019,Action,RPG,Metroidvania,8.5
390,AI: The Somnium Files,17/09/2019,Action,Adventure,Single-player,8.5
391,Keep Talking and Nobody Explodes,13/10/2016,Board,Party,Puzzle,8.5
392,Dishonored: Definitive Edition,25/08/2015,Action,Adventure,Stealth,8.5
393,FAR: Lone Sails,02/04/2019,Action,Adventure,Puzzle,8.5
394,Pac-Man Championship Edition 2,13/09/2016,Action,Puzzle,Single-player,8.5
395,Battle Chasers: Nightwar,03/10/2017,RPG,Strategy,JRPG,8.5
396,Metro Exodus,15/02/2019,Action,Horror,Stealth,8.5
397,FIFA 23,30/09/2022,Simulation,Sports,Coop,8.5
398,FIFA 16,22/09/2015,Sports,Multiplayer,Single-player,8.5
399,Lego Dimensions,27/09/2015,Action,Adventure,Coop,8.5
400,NBA 2K14,15/11/2013,Sports,Multiplayer,Single-player,8.5
401,Dishonored: Death of the Outsider,15/09/2017,Action,Adventure,Stealth,8.5
402,Planet Coaster: Console Edition,10/11/2020,Simulation,Strategy,Single-player,8.5
403,ABZÛ,02/08/2016,Adventure,Casual,Simulation,8.5
404,Statik,24/04/2017,Puzzle,Single-player,,8.5
405,Momodora: Reverie Under the Moonlight,16/03/2017,Metroidvania,Platformer,Single-player,8.5
406,Don't Starve: Mega Pack,17/04/2018,Action,Adventure,Open World,8.5
407,Persona 3 Portable,19/01/2023,RPG,JRPG,Single-player,8.5
408,The Legend of Nayuta: Boundless Trails,19/09/2023,Action,RPG,Hack and Slash,8.5
409,Earth Defense Force: World Brothers,27/05/2021,Action,Arcade,Coop,8.5
410,Pocky & Rocky Reshrined,24/06/2022,Action,Shoot 'em up,Multiplayer,8.5
411,WWE 2K22,11/03/2022,Simulation,Sports,Fighting,8.5
412,Call of Duty: Black Ops III,06/11/2015,Military,Military Shooter,Coop,8.5
413,Vanquish,18/02/2020,Action,Single-player,Third-Person Shooter,8.5
414,Hand of Fate 2,07/11/2017,Action,Card,RPG,8.5
415,Cosmic Star Heroine,11/04/2017,RPG,JRPG,Single-player,8.5
416,Going Under,24/09/2020,Action,Beat 'em up,Dungeon Crawler,8.5
417,The Forest,06/11/2018,Horror,Open World,Survival,8.5
418,Madden NFL 15,26/08/2014,Sports,Multiplayer,Single-player,8.5
419,Megadimension Neptunia VIIR,08/05/2018,RPG,JRPG,Single-player,8.5
420,Burnout Paradise Remastered,16/03/2018,Action,Open World,Racing,8.5
421,PixelJunk Shooter Ultimate,03/06/2014,Shoot 'em up,Coop,Local-coop,8.5
422,Star Ocean: Till the End of Time,23/05/2017,Action,RPG,JRPG,8.5
423,Prey,05/05/2017,Single-player,First-Person Shooter,,8.5
424,Puyo Puyo Tetris,25/04/2017,Action,Puzzle,Multiplayer,8.5
425,Shakedown Hawaii,07/05/2019,Action,Adventure,Open World,8.5
426,Ys IX: Monstrum Nox,02/02/2021,Action,RPG,JRPG,8.5
427,The Evil Within 2,13/10/2017,Action,Adventure,Horror,8.5
428,Just Dance 2020,05/11/2019,Party,Rhythm,Coop,8.5
429,Trials of Mana,24/04/2020,Action,Adventure,RPG,8.5
430,Far Cry 5,27/03/2018,Action,Adventure,Open World,8.5
431,Scott Pilgrim vs. the World: The Game - Complete Edition,14/01/2021,Action,Beat 'em up,Coop,8.5
432,Warhammer: Vermintide 2,18/12/2018,Action,Coop,Multiplayer,8.5
433,Tacoma,08/05/2018,Adventure,Single-player,,8.5
434,MLB 15: The Show,31/03/2015,Sports,Multiplayer,Single-player,8.5
435,Super Time Force Ultra,01/09/2015,Action,Platformer,Shoot 'em up,8.5
436,TowerFall Ascension,11/03/2014,Action,Party,Platformer,8.5
437,Apex Legends,04/02/2019,Battle Royale,Multiplayer,Online Co-op,8.5
438,Armello,01/09/2015,Board,RPG,Offline,8.5
439,Madden NFL 16,25/08/2015,Sports,Single-player,,8.5
440,F1 22,01/07/2022,Sports,Racing,Local-coop,8.5
441,Pinball FX2 VR,29/11/2016,Simulation,Pinball,Single-player,8.5
442,Super Meat Boy,06/10/2015,Action,Platformer,Single-player,8.5
443,Yakuza 4 Remastered,29/10/2019,Action,Adventure,Open World,8.5
444,Control,27/08/2019,Action,Adventure,Single-player,8.5
445,Hatsune Miku: Project DIVA X,30/08/2016,Rhythm,Single-player,,8.5
446,Unravel,09/02/2016,Puzzle,Endless Runner,Platformer,8.5
447,SOMA,22/09/2015,Adventure,Horror,Survival,8.5
448,This War of Mine: The Little Ones,29/01/2016,Action,Adventure,Survival,8.5
449,Desperados III,16/06/2020,Action,Strategy,Real-time strategy,8.5
450,Thimbleweed Park,22/08/2017,Adventure,Point & Click,Single-player,8.5
451,Tales of Berseria,24/01/2017,Action,RPG,JRPG,8.5
452,Destiny 2,06/09/2017,Action,MMO,Coop,8.5
453,Skylanders: Trap Team,05/10/2014,Action,Adventure,Coop,8.5
454,SCARLET NEXUS,25/06/2021,Action,Adventure,RPG,8.5
455,SAMURAI WARRIORS 5,27/07/2021,Action,Hack and Slash,Coop,8.5
456,Genshin Impact,28/09/2020,Action,Adventure,RPG,8.5
457,Shin Megami Tensei III Nocturne HD Remaster,25/05/2021,RPG,JRPG,Anime,8.5
458,Sakuna: Of Rice and Ruin,10/11/2020,Action,Simulation,Beat 'em up,8.5
460,Far Cry 6,07/10/2021,Open World,Coop,Multiplayer,8.5
461,PGA TOUR 2K23,14/10/2022,Simulation,Sports,Multiplayer,8.5
462,Iconoclasts,23/01/2018,Action,Adventure,Platformer,8.5
463,River City Girls,05/09/2019,Action,Beat 'em up,Anime,8.5
464,Ys Origin,21/02/2017,Action,RPG,JRPG,8.5
465,Sonic Superstars,17/10/2023,Action,Platformer,Local Multiplayer,8.4
466,Call of Duty: Modern Warfare II (2022),28/10/2022,Action,Coop,Multiplayer,8.4
467,Shantae and the Pirate's Curse,19/04/2016,Action,Adventure,Metroidvania,8.4
468,Alienation,26/04/2016,RPG,Shoot 'em up,Coop,8.4
469,Pixel Ripped 1989,31/07/2018,Action,Adventure,Single-player,8.4
470,eFootball PES 2020 Standard Edition,10/09/2019,Simulation,Sports,Coop,8.4
471,Kaze and the Wild Masks,26/03/2021,Action,Adventure,Platformer,8.4
472,Lonely Mountains: Downhill,23/10/2019,Arcade,Simulation,Sports,8.4
473,Superliminal,07/07/2020,Adventure,Puzzle,Single-player,8.4
474,Onimusha: Warlords,15/01/2019,Action,Adventure,Hack and Slash,8.4
475,Tekken 7,02/06/2017,Fighting,Esports,Multiplayer,8.4
476,Untitled Goose Game,17/12/2019,Simulation,Stealth,Cozy,8.4
477,One Piece: Pirate Warriors 4,27/03/2020,Action,Adventure,Beat 'em up,8.4
478,Sniper Elite 5,26/05/2022,Action,Adventure,Military Shooter,8.4
479,Omensight,15/05/2018,Action,Adventure,RPG,8.4
480,Watch Dogs,27/05/2014,Action,Adventure,Open World,8.4
481,BLUE REFLECTION: Second Light,09/11/2021,RPG,JRPG,Single-player,8.4
482,FIFA 18,29/09/2017,Sports,Multiplayer,Single-player,8.4
483,SteamWorld Dig,18/03/2014,Action,Adventure,Metroidvania,8.4
484,Two Point Hospital,25/02/2020,Simulation,Strategy,Multiplayer,8.4
485,Tactics Ogre: Reborn,11/11/2022,RPG,Strategy,JRPG,8.4
486,MLB The Show 19,26/03/2019,Sports,Multiplayer,Single-player,8.4
487,Soul Hackers 2,26/08/2022,Action,RPG,JRPG,8.4
488,Tales From The Borderlands,25/11/2014,Action,Adventure,Single-player,8.4
489,Grim Fandango Remastered,27/01/2015,Adventure,Point & Click,Single-player,8.4
490,Velocity 2X,02/09/2014,Action,Arcade,Platformer,8.4
491,Wolfenstein: The New Order,20/05/2014,Action,Adventure,Single-player,8.4
492,Darknet,07/03/2017,Puzzle,Strategy,Single-player,8.4
493,Kentucky Route Zero: TV Edition,28/01/2020,Adventure,Point & Click,Single-player,8.4
494,Fate/EXTELLA LINK,19/03/2019,Action,Beat 'em up,Multiplayer,8.4
495,The Eternal Cylinder,30/09/2021,Adventure,Open World,Survival,8.4
496,Sid Meier's Civilization VI,22/11/2019,Strategy,Turn-based strategy,Multiplayer,8.4
497,ICEY,08/08/2017,Action,Adventure,RPG,8.4
498,SUPERHOT,21/07/2017,Single-player,First-Person Shooter,,8.4
499,LOST ORBIT,12/05/2015,Action,Single-player,,8.4
500,Tooth and Tail,12/09/2017,Strategy,Coop,Local-coop,8.4
501,Shenmue I & II,21/08/2018,Action,Adventure,Open World,8.4
502,Headlander,26/07/2016,Metroidvania,Platformer,Single-player,8.4
503,Trover Saves The Universe,31/05/2019,Action,Adventure,Single-player,8.4
504,Sprint Vector,13/02/2018,Action,Sports,Platformer,8.4
505,The Missing: JJ Macfield and the Island of Memories,15/10/2018,Action,Adventure,Single-player,8.4
506,Linelight,31/01/2017,Puzzle,Strategy,Single-player,8.4
507,Middle-earth: Shadow of War,10/10/2017,Action,Adventure,RPG,8.4
508,Project Warlock,09/06/2020,Action,Adventure,Roguelike,8.4
509,Taiko no Tatsujin: Drum Session!,02/11/2018,Rhythm,Single-player,,8.4
510,The Walking Dead: A New Frontier,20/12/2016,Adventure,Horror,Survival,8.4
511,Dying Light,27/01/2015,Action,RPG,Horror,8.4
512,The Swapper,05/08/2014,Puzzle,Metroidvania,Platformer,8.4
513,Skylanders Imaginators,17/06/2016,Action,Adventure,RPG,8.4
514,Just Dance 2021,12/11/2020,Action,Rhythm,Coop,8.4
515,Moonlighter,29/05/2018,Action,RPG,Simulation,8.4
516,The TakeOver,20/05/2021,Action,Coop,Local-coop,8.4
517,We Were Here Forever,31/01/2023,Action,Adventure,Puzzle,8.4
518,The Great Ace Attorney Chronicles,27/07/2021,Adventure,Puzzle,Anime,8.4
519,Ion Fury,14/05/2020,Action,Single-player,First-Person Shooter,8.4
520,Timespinner,25/09/2018,Action,Adventure,RPG,8.4
521,Jurassic World Evolution 2,09/11/2021,Action,Simulation,Strategy,8.4
522,Madden NFL 17,23/08/2016,Sports,Multiplayer,Single-player,8.4
523,Mafia: Definitive Edition,24/09/2020,Action,Adventure,Open World,8.4
524,Downwell,24/05/2016,Action,Adventure,Roguelike,8.4
525,Plants vs. Zombies: Battle for Neighborville,18/10/2019,Action,Adventure,Strategy,8.4
526,Riders Republic,28/10/2021,Sports,Open World,Racing,8.4
527,Amnesia: The Bunker,06/06/2023,Action,Adventure,Horror,8.4
528,LEGO Marvel Super Heroes,15/11/2013,Action,Adventure,Coop,8.4
529,Narita Boy,30/03/2021,Action,Adventure,Metroidvania,8.4
530,Super Stardust Ultra,10/02/2015,Shoot 'em up,Multiplayer,Single-player,8.4
531,Ruiner,26/09/2017,Action,Adventure,Strategy,8.4
532,R-Type Final 2,30/04/2021,Action,Arcade,Shoot 'em up,8.4
533,Smite,31/05/2016,Action,Adventure,MOBA,8.4
534,Far Cry Primal,23/02/2016,Action,Adventure,Open World,8.4
535,Shady Part of Me,10/12/2020,Adventure,Casual,Puzzle,8.4
536,Voice of Cards: The Isle Dragon Roars,28/10/2021,Card,RPG,Strategy,8.4
537,WarGroove,23/07/2019,Strategy,Coop,Local Multiplayer,8.4
538,One Piece: Pirate Warriors 3,25/08/2015,Action,Anime,Coop,8.4
539,The Wonderful 101: Remastered,19/05/2020,Action,Adventure,Hack and Slash,8.4
540,Othercide,28/07/2020,Adventure,RPG,Strategy,8.4
541,Ghost of a Tale,12/03/2019,Action,Adventure,Puzzle,8.4
542,Twin Breaker: A Sacred Symbols Adventure,24/03/2020,Action,Adventure,Arcade,8.4
543,STORY OF SEASONS: Pioneers of Olive Town,26/07/2022,RPG,Simulation,Single-player,8.4
544,Prison Architect: Playstation 4 Edition,28/06/2016,Simulation,Strategy,Single-player,8.4
545,Utawarerumono: Mask of Truth,05/09/2017,Adventure,RPG,Strategy,8.4
546,Immortals: Fenyx Rising,03/12/2020,Action,Adventure,Open World,8.4
547,Move or Die,05/03/2019,Action,Multiplayer,Single-player,8.4
548,Hob,26/09/2017,Action,Adventure,Single-player,8.4
549,Shantae and the Seven Sirens,28/05/2020,Adventure,Metroidvania,Platformer,8.4
550,Shadow Man: Remastered,13/01/2022,Action,Adventure,Survival,8.4
551,Wasteland 3,28/08/2020,RPG,Strategy,Coop,8.4
552,The Elder Scrolls V: Skyrim VR,17/11/2017,Action,RPG,Open World,8.4
553,G-DARIUS HD,28/09/2021,Arcade,Multiplayer,Single-player,8.4
554,Assassin's Creed Syndicate,23/10/2015,Action,Adventure,Open World,8.4
555,Wolfenstein: The Old Blood,05/05/2015,Action,Adventure,Single-player,8.4
556,Mega Man 11,02/10/2018,Action,Platformer,Single-player,8.4
557,Call of Duty: Advanced Warfare,04/11/2014,Military Shooter,Coop,Local-coop,8.4
558,Firewatch,09/02/2016,Adventure,Single-player,,8.4
559,Yakuza Kiwami,29/08/2017,Action,Adventure,Multiplayer,8.4
560,Jamestown+,17/03/2015,Action,Shoot 'em up,Coop,8.4
561,Driveclub Bikes,27/10/2015,Racing,Multiplayer,Single-player,8.4
562,Unruly Heroes,28/05/2019,Action,Adventure,Arcade,8.4
563,WRC 9 FIA World Rally Championship,03/09/2020,Simulation,Racing,Single-player,8.4
564,Attack on Titan 2,20/03/2018,Action,Hack and Slash,Anime,8.4
565,Just Dance 2019,23/10/2018,Rhythm,Coop,Local-coop,8.4
566,Sleeping Dogs: Definitive Edition,14/10/2014,Action,Adventure,Open World,8.4
567,Fire Pro Wrestling World,28/08/2018,Simulation,Sports,Fighting,8.4
568,F1 2017,25/08/2017,Sports,Racing,Multiplayer,8.4
569,Super Cloudbuilt,25/07/2017,Action,Adventure,Single-player,8.3
570,Ashen,09/12/2019,Action,RPG,Open World,8.3
571,Hoa,24/08/2021,Action,Adventure,Casual,8.3
572,F1 2016,19/08/2016,Simulation,Sports,Racing,8.3
573,Journey to the Savage Planet,28/01/2020,Action,Adventure,Coop,8.3
574,Zero Escape: Zero Time Dilemma,18/08/2017,Action,Adventure,Single-player,8.3
575,Deus Ex: Mankind Divided,23/08/2016,Action,RPG,Single-player,8.3
576,Earth Defense Force 5,11/12/2018,Action,Coop,Local-coop,8.3
577,Patapon 2 Remastered,30/01/2020,Party,Strategy,Single-player,8.3
578,NBA 2K22,10/09/2021,Sports,Esports,Coop,8.3
579,Mutant Football League: Dynasty Edition,30/10/2018,Sports,Local Multiplayer,Multiplayer,8.3
580,Final Fantasy XV,29/11/2016,Action,RPG,JRPG,8.3
581,Tom Clancy's The Division,08/03/2016,Action,RPG,Military,8.3
582,Far Cry 3: Classic Edition,29/05/2018,Action,Adventure,Open World,8.3
